,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,trades_count,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
154,1686562200000,26028.07000000,26037.66000000,25962.70000000,25965.10000000,642.98140000,1686563999999,16719237.27693280,17747,288.98048000,7514556.32397480,0
155,1686564000000,25965.10000000,26059.59000000,25944.18000000,26024.13000000,764.79976000,1686565799999,19881071.37337130,19350,406.93287000,10578314.16745560,0
156,1686565800000,26024.12000000,26037.21000000,25964.59000000,25964.59000000,459.71582000,1686567599999,11951851.53930440,15263,196.31927000,5104223.72550740,0
157,1686567600000,25964.60000000,25972.90000000,25940.00000000,25949.00000000,386.12990000,1686569399999,10023366.67685650,14023,151.66466000,3936860.25644950,0
158,1686569400000,25948.99000000,26029.25000000,25936.30000000,25988.83000000,524.32500000,1686571199999,13615757.61812600,16066,260.51362000,6765202.28964400,0
159,1686571200000,25988.82000000,25993.60000000,25899.89000000,25916.72000000,588.00226000,1686572999999,15256141.46837600,15329,219.91646000,5705764.25775050,0
160,1686573000000,25916.72000000,25941.35000000,25901.12000000,25933.10000000,379.00518000,1686574799999,9826120.97915820,13300,176.37820000,4572657.71300180,0
161,1686574800000,25933.10000000,25933.11000000,25826.77000000,25879.12000000,636.91467000,1686576599999,16485237.04866270,20161,302.47518000,7828750.76021580,0
162,1686576600000,25879.13000000,25881.71000000,25779.71000000,25798.30000000,1077.16315000,1686578399999,27811761.36401710,26584,515.88063000,13319665.26954420,0
163,1686578400000,25798.29000000,25878.84000000,25734.47000000,25832.98000000,999.30422000,1686580199999,25793739.87468520,27101,512.01727000,13215437.65660630,0
164,1686580200000,25832.97000000,25846.36000000,25740.99000000,25846.35000000,501.91052000,1686581999999,12953634.79118610,17723,242.26598000,6252165.99914700,0
165,1686582000000,25846.35000000,25848.99000000,25766.86000000,25808.50000000,778.85880000,1686583799999,20104137.59473730,19886,318.38510000,8217677.16893700,0
166,1686583800000,25808.50000000,25833.80000000,25804.43000000,25828.56000000,88.52240000,1686585599999,2285989.12372670,3328,46.54477000,1202014.64042610,0
